,LOC,Complexity,Dev_Experience,Module_Type,Dev_Mood,Commit_Message_Length,Buggy
143,510,24,4,Backend,7,21,0
144,740,15,5,Backend,2,22,0
145,624,14,6,Backend,8,46,0
146,792,44,3,API,4,88,1
147,290,42,2,Backend,3,49,0
148,613,10,4,UI,8,86,0
149,145,12,5,UI,2,21,0
150,783,27,4,API,3,77,1
151,534,30,3,API,3,18,1
152,456,47,8,Backend,1,53,1
153,280,16,4,API,6,33,0
154,798,30,2,UI,2,99,1
155,704,17,2,Backend,1,8,0
156,220,44,1,UI,2,86,0
157,590,22,4,Backend,6,24,0
158,85,29,9,API,4,51,0
159,574,37,7,Backend,6,13,1
160,209,44,7,Backend,9,81,1
161,748,47,7,UI,8,83,1
162,292,16,8,UI,1,31,0
163,135,48,1,Backend,8,19,0
164,627,40,8,API,9,96,1
165,731,8,4,API,6,23,0
166,606,9,4,UI,5,94,0
167,623,41,4,API,6,56,1
168,695,12,6,UI,6,30,1
169,77,46,7,API,9,93,0
170,669,32,6,Backend,4,30,0
171,605,35,1,UI,2,30,1
172,389,13,8,UI,9,50,0
173,380,33,7,Backend,2,96,0
174,689,18,6,UI,9,53,0
175,555,44,6,API,2,86,1
176,397,45,5,API,8,57,0
177,522,26,6,UI,9,7,1
178,280,15,9,API,9,70,0
179,239,27,9,UI,9,46,0
180,274,5,8,Backend,2,23,0
181,434,41,9,UI,4,21,1
182,426,25,8,Backend,7,37,0
183,332,30,8,API,2,80,0
184,682,40,1,Backend,1,53,1
185,677,27,5,API,3,60,1
186,794,5,4,UI,4,67,0
187,308,44,2,API,8,7,1
188,408,19,8,UI,6,53,0
189,759,25,3,UI,2,59,0
190,505,13,4,Backend,9,30,0
191,460,13,7,Backend,2,76,0
192,698,14,9,Backend,5,56,0
193,367,30,2,Backend,4,11,0
194,726,45,3,API,7,50,1
195,274,39,4,API,8,50,0
196,283,29,1,API,5,20,1
197,733,30,7,UI,5,28,1
198,713,15,2,API,2,65,0
199,423,42,5,API,8,58,1
200,721,6,1,API,2,66,0
201,657,11,3,Backend,6,5,1
202,521,22,2,API,8,53,0
203,282,31,1,UI,6,29,0
204,741,38,7,Backend,4,14,1
205,162,31,5,UI,4,84,0
206,546,21,1,API,6,20,0
207,491,47,6,Backend,4,62,1
208,613,48,5,UI,8,76,1
209,317,28,3,API,9,33,0
210,559,29,7,UI,1,96,1
211,435,11,9,UI,4,10,0
212,436,10,9,UI,4,20,0
213,162,28,9,API,2,24,0
214,662,37,2,API,6,84,1
215,674,33,3,UI,3,75,1
216,130,47,7,Backend,7,82,0
217,748,26,5,Backend,5,47,0
218,162,30,2,API,4,30,0
219,51,32,3,API,5,94,0
220,691,25,6,API,8,82,0
221,269,11,7,API,3,75,0
222,615,21,9,API,7,37,0
223,785,24,1,Backend,6,30,0
224,274,45,7,API,1,49,0
225,434,24,8,UI,7,88,1
226,452,26,3,UI,7,67,1
227,687,32,4,Backend,1,71,1
228,179,44,6,UI,9,56,0
229,102,11,7,Backend,6,72,0
230,733,5,4,Backend,2,30,0
231,779,36,8,UI,5,79,1
232,721,17,5,API,4,6,0
233,759,34,1,UI,7,18,1
234,465,27,4,UI,8,34,1
235,296,23,3,Backend,1,53,0
236,488,36,9,UI,5,16,1
237,252,34,8,Backend,3,94,0
238,233,33,1,API,1,48,0
239,172,49,6,API,3,37,0
240,450,33,9,API,6,17,1
241,343,34,7,UI,7,82,0
242,329,20,4,Backend,8,92,0
243,659,44,1,API,4,30,1
244,247,23,2,Backend,3,25,0
245,560,22,5,Backend,5,32,0
246,193,5,5,API,9,52,0
247,658,18,8,API,6,44,0
248,250,6,6,Backend,9,70,0
249,173,32,8,API,6,77,0
250,236,34,2,Backend,2,91,0
251,375,42,3,Backend,5,83,1
252,513,8,6,API,9,81,0
253,398,5,3,UI,8,27,0
254,709,12,6,API,7,85,0
255,452,33,6,UI,1,52,0
256,395,43,2,Backend,4,6,0
257,560,7,7,Backend,7,88,0
258,196,36,2,UI,7,24,0
259,197,14,6,Backend,6,63,0
260,760,14,1,UI,8,50,0
261,538,23,3,UI,6,7,0
262,689,38,2,Backend,3,59,0
263,600,37,7,UI,4,16,1
264,387,27,4,API,3,44,0
265,690,32,8,API,1,70,1
266,522,36,6,Backend,5,82,1
267,200,11,4,Backend,1,20,0
268,464,33,5,UI,1,87,1
269,347,12,9,UI,2,38,0
270,660,5,7,UI,4,48,0
271,312,7,9,UI,6,10,0
272,193,28,7,API,8,81,0
273,395,27,1,API,3,68,0
274,673,12,8,Backend,1,26,0
275,621,41,4,UI,3,22,1
276,51,7,3,UI,3,16,0
277,353,37,7,Backend,5,56,0
278,303,32,3,UI,4,98,1
279,701,12,8,UI,4,55,0
280,502,38,6,UI,9,75,1
281,86,39,5,UI,7,52,0
282,209,36,4,UI,4,23,0
283,58,28,8,Backend,3,10,0
284,282,18,8,UI,6,88,0
285,148,36,1,Backend,3,31,0
286,708,47,9,UI,6,57,1
287,257,20,5,API,9,52,0
288,180,8,4,API,6,11,0
289,453,41,6,API,4,63,1
290,201,25,6,API,5,73,0
291,103,18,2,Backend,6,15,0
292,169,35,8,Backend,3,19,0
293,722,22,7,UI,8,68,0
294,677,11,1,API,4,7,0
295,636,14,5,Backend,8,73,0
296,674,11,6,UI,3,27,0
297,469,37,4,UI,7,57,1
298,471,27,2,Backend,9,41,1
299,153,25,4,API,4,13,0
300,303,23,1,UI,8,19,0
301,276,23,7,API,3,7,0
302,161,40,2,API,7,97,0
303,559,33,2,API,3,74,1
304,522,22,9,UI,7,21,0
305,148,6,5,API,6,30,0
306,202,5,2,UI,2,25,0
307,387,9,9,API,3,76,0
308,755,24,9,UI,6,25,0
309,212,15,1,API,4,15,0
310,769,46,3,Backend,6,42,1
311,730,6,4,API,1,76,0
312,210,7,7,API,1,92,0
313,629,27,4,UI,3,39,1
314,447,16,2,UI,8,18,0
315,326,24,7,API,8,18,0
316,553,9,6,Backend,4,14,0
317,441,41,3,Backend,6,16,1
318,184,42,6,UI,8,42,1
319,244,34,6,Backend,7,38,0
320,450,13,5,API,7,45,0
321,689,38,4,UI,4,14,1
322,82,48,1,API,9,21,0
323,737,39,6,UI,6,21,1
324,509,26,2,UI,3,71,1
325,519,48,3,UI,5,66,1
326,424,28,8,UI,5,99,1
327,71,21,6,Backend,5,5,0
328,799,14,3,API,8,16,0
329,719,34,7,API,9,8,1
330,87,27,4,API,9,46,1
331,279,36,9,UI,6,17,0
332,414,21,5,Backend,6,89,0
333,612,21,3,API,9,90,1
334,487,18,2,Backend,4,8,0
335,332,13,2,UI,6,86,1
336,76,44,3,API,4,73,0
337,275,6,2,Backend,1,23,0
338,326,49,4,UI,7,6,0
339,658,29,2,Backend,6,16,1
340,333,43,9,API,9,85,0
341,530,13,2,API,7,78,1
342,502,26,9,UI,7,10,1
343,708,47,6,UI,2,12,1
344,565,8,1,UI,9,55,0
345,596,30,4,Backend,9,15,1
346,241,33,1,Backend,6,67,0
347,98,49,6,Backend,3,61,0
348,561,38,4,UI,1,16,1
349,66,27,3,API,4,77,0
350,221,41,3,API,3,6,0
351,269,15,9,Backend,1,12,0
352,207,10,6,Backend,3,15,0
353,526,22,9,API,4,57,0
354,95,25,5,API,8,14,0
355,422,46,2,Backend,9,89,1
356,567,40,8,Backend,3,88,1
357,148,45,5,API,6,12,0
358,794,42,2,UI,5,40,1
359,86,38,4,Backend,6,97,0
360,329,21,9,API,4,80,0
361,398,41,4,API,6,18,0
362,546,29,4,API,7,58,1
363,351,42,2,API,9,89,0
364,230,16,6,UI,7,90,0
365,656,27,2,API,6,25,1
366,148,46,7,Backend,1,54,0
367,749,26,3,UI,2,98,1
368,165,25,3,API,1,43,0
369,240,31,5,UI,9,24,0
370,302,35,3,Backend,9,92,0
371,210,10,2,API,7,91,0
372,305,31,9,Backend,2,11,0
373,372,44,2,API,6,13,0
374,177,38,2,API,4,5,0
375,67,16,8,API,1,30,0
376,784,49,9,API,1,42,0
377,615,11,7,API,5,42,0
378,619,14,3,UI,2,65,0
379,372,49,9,API,4,48,1
380,735,21,3,API,1,90,0
381,675,30,5,UI,4,48,0
382,337,25,9,UI,6,78,0
383,712,32,3,UI,4,66,1
384,688,6,7,UI,1,10,0
385,204,47,1,UI,7,21,0
386,539,5,4,UI,2,55,0
387,435,40,4,API,9,42,1
388,153,30,7,API,3,28,0
389,442,33,8,Backend,8,55,1
390,295,25,1,API,8,14,0
391,225,15,5,API,3,76,0
392,88,44,7,UI,4,25,1
393,526,15,4,UI,2,74,0
394,731,40,4,API,4,89,1
395,587,43,4,Backend,9,61,1
396,457,44,6,UI,2,43,1
397,574,39,7,API,3,92,1
398,555,38,2,API,4,37,1
399,85,28,5,Backend,5,63,0
400,734,26,4,Backend,1,22,1
401,69,9,3,UI,7,60,0
402,370,37,7,Backend,7,96,0
403,561,40,6,API,9,61,1
404,449,24,7,API,4,80,0
405,703,23,5,Backend,6,52,0
406,520,39,6,Backend,2,46,1
407,192,47,5,Backend,4,31,0
408,141,21,7,Backend,2,78,0
409,403,49,2,UI,5,56,1
410,776,47,5,Backend,7,46,1
411,100,38,6,UI,1,36,0
412,714,13,6,API,7,30,0
413,747,30,5,Backend,6,29,1
414,624,6,7,UI,6,79,0
415,239,13,8,Backend,8,27,0
416,174,13,7,API,8,61,0
417,199,44,5,API,6,56,0
418,363,21,1,API,3,91,0
419,619,5,5,Backend,5,97,0
420,391,29,2,Backend,2,35,0
421,354,47,5,UI,5,68,0
422,741,44,5,API,9,75,1
423,731,46,2,Backend,1,37,1
424,103,29,5,API,5,89,0
425,493,43,4,API,6,6,1
426,662,39,1,UI,7,22,1
427,313,7,3,UI,9,51,0
428,102,41,1,UI,6,37,0
429,621,48,5,UI,5,88,1
430,669,48,4,API,7,39,1
431,54,34,7,UI,1,55,0
432,152,42,5,UI,5,22,0
433,245,38,4,UI,2,92,0
434,399,16,2,UI,4,76,0
435,96,23,4,API,7,34,0
436,705,41,2,UI,5,48,1
437,318,48,8,API,6,57,0
438,419,21,3,Backend,2,14,0
439,685,14,9,API,3,91,1
440,155,16,4,API,7,56,0
441,719,20,6,UI,2,53,0
442,708,28,5,Backend,6,15,1
443,706,23,1,Backend,5,70,0
444,169,12,9,Backend,1,62,0
445,653,35,1,Backend,4,94,1
446,107,25,8,API,2,40,0
447,395,21,9,Backend,4,37,0
448,790,27,9,API,1,51,1
449,523,41,1,API,2,17,1
450,166,20,2,API,8,44,0
451,176,10,1,Backend,6,93,0
452,442,12,2,UI,2,72,0
453,690,29,8,UI,6,46,1
454,107,22,5,Backend,9,23,0
455,683,29,7,UI,7,86,1
456,562,16,2,UI,9,98,1
457,145,19,8,API,5,23,0
458,687,30,6,API,7,62,1
459,167,45,8,Backend,7,27,0
460,609,49,1,Backend,3,58,1
461,650,30,1,UI,7,84,1
462,537,36,7,API,1,69,1
463,286,14,8,Backend,9,16,0
464,321,20,3,Backend,6,28,0
465,238,11,5,Backend,5,38,0
466,753,21,1,Backend,7,57,0
467,496,27,7,Backend,5,12,1
468,630,30,5,Backend,5,22,1
469,296,25,8,UI,7,61,0
470,125,26,8,API,7,9,0
471,203,11,9,API,3,30,0
472,705,18,7,Backend,3,34,0
473,484,19,1,API,3,58,0
474,135,11,3,API,6,17,0
475,746,13,8,API,6,87,0
476,334,12,3,Backend,3,33,0
477,269,27,8,Backend,3,7,0
478,118,33,1,API,8,94,0
479,96,22,5,API,8,62,0
480,143,35,4,Backend,7,80,1
481,799,34,5,UI,4,6,1
482,502,43,8,API,4,79,0
483,253,39,4,UI,3,32,1
484,267,22,4,API,5,86,0
485,523,46,3,UI,3,81,1
486,481,43,7,UI,8,90,1
487,390,21,3,UI,7,80,0
488,600,18,3,Backend,3,6,0
489,661,35,5,UI,9,11,1
490,338,28,5,UI,5,30,0
491,303,39,6,UI,9,94,1
492,783,48,8,API,7,92,1
493,406,49,6,UI,7,80,1
494,72,38,1,API,6,20,0
495,571,7,8,UI,2,27,0
496,149,41,8,UI,9,44,0
497,229,47,9,Backend,6,64,0
498,272,44,9,API,8,77,0
499,708,30,2,UI,1,36,1
500,491,27,2,API,5,19,0
501,657,48,3,API,1,17,1
502,374,43,1,Backend,8,9,0
503,565,19,4,Backend,8,79,0
504,65,8,4,Backend,1,78,0
505,385,33,9,Backend,9,56,0
506,307,26,9,Backend,2,81,1
507,546,29,9,Backend,9,45,1
508,209,17,7,Backend,1,57,0
509,524,22,2,Backend,9,54,0
510,713,37,5,UI,4,19,1
511,739,20,4,API,9,11,0
512,724,49,8,Backend,7,44,1
513,429,46,2,Backend,6,32,1
514,594,48,6,API,5,36,1
515,740,6,5,UI,9,19,0
516,476,39,2,API,2,89,1
517,662,46,1,API,2,74,1
518,317,38,8,Backend,9,69,0
519,626,34,2,API,3,8,1
520,466,17,7,API,8,15,0
521,217,17,9,Backend,9,30,0
522,92,22,9,Backend,8,65,0
523,605,36,8,Backend,4,41,1
524,334,36,9,Backend,1,27,0
525,446,39,2,API,4,97,1
526,61,43,6,API,9,89,0
527,656,33,4,UI,2,95,0
528,351,33,4,UI,3,44,0
529,302,48,5,API,8,81,1
530,548,20,3,UI,6,27,0
531,84,48,1,API,8,20,0
532,776,14,8,UI,7,98,0
533,139,34,5,Backend,5,65,0
534,654,29,3,UI,9,72,0
535,651,43,7,Backend,4,84,1
536,467,24,7,Backend,6,35,0
537,164,9,1,Backend,2,57,0
538,666,5,9,Backend,2,29,1
539,245,34,2,UI,2,48,0
540,550,7,5,API,7,16,0
541,675,49,5,Backend,2,94,1
542,542,18,8,UI,2,96,0
543,124,34,8,Backend,9,13,0
544,462,8,7,UI,7,16,0
545,425,22,7,UI,3,73,0
546,469,41,6,UI,3,58,1
547,778,29,6,API,7,58,1
548,326,5,9,UI,5,32,1
549,725,19,6,UI,6,60,0
550,443,13,2,API,8,73,0
551,506,19,2,API,9,81,0
552,241,28,5,UI,1,62,0
553,788,8,4,API,3,82,0
554,738,16,2,Backend,7,79,0
555,148,41,3,Backend,6,46,0
556,597,41,7,API,7,42,0
557,145,47,8,API,8,72,0
558,713,10,6,UI,6,57,1
559,712,43,5,API,3,37,1
560,239,28,1,UI,2,75,0
561,785,15,8,Backend,7,60,0
562,86,17,3,API,1,76,0
563,418,38,6,UI,3,55,1
564,744,29,3,UI,4,78,1
565,574,11,7,Backend,1,47,0
566,328,8,7,API,5,19,0
567,266,12,9,Backend,3,42,0
568,322,24,5,UI,2,19,0
569,111,33,8,UI,3,9,0
570,645,49,8,API,8,97,0
571,778,14,1,UI,6,87,0
572,391,47,5,API,7,58,0
573,446,38,3,Backend,6,55,1
574,748,30,1,API,6,14,1
575,68,45,4,API,3,16,0
576,226,7,8,UI,8,8,1
577,661,10,3,UI,7,99,0
578,445,9,2,API,7,22,0
579,494,9,9,UI,6,84,0
580,282,27,5,UI,5,40,0
581,125,13,7,UI,8,29,0
582,314,39,2,API,5,91,0
583,504,24,9,UI,9,80,0
584,767,46,9,API,9,40,1
585,784,39,4,UI,1,71,1
586,433,22,4,Backend,6,13,0
587,613,21,6,UI,7,65,1
588,555,28,6,UI,3,57,1
589,416,7,1,API,7,22,0
590,193,36,9,API,7,47,0
591,118,39,2,UI,2,39,0
592,148,42,5,Backend,7,67,0
593,445,17,9,UI,1,82,0
594,74,29,4,UI,5,8,0
595,518,13,3,Backend,9,97,0
596,533,8,7,API,7,45,0
597,614,18,6,UI,7,49,0
598,200,41,8,API,2,54,0
599,193,38,3,API,8,83,0
600,618,15,5,Backend,3,32,0
601,88,45,4,Backend,8,46,0
602,158,7,4,API,3,84,1
603,742,32,4,UI,7,80,1
604,91,33,8,API,2,73,0
605,235,13,6,UI,4,5,0
606,447,7,3,UI,6,43,1
607,272,29,5,Backend,9,94,0
608,683,38,6,UI,5,21,1
609,182,16,5,UI,9,95,0
610,212,46,6,API,5,92,0
611,264,13,8,Backend,8,39,0
612,782,19,7,UI,1,50,0
613,284,44,5,UI,7,46,0
614,707,29,6,Backend,4,43,1
615,637,9,4,API,5,94,0
616,58,15,9,Backend,6,53,0
617,123,38,4,Backend,5,66,0
618,541,28,1,UI,1,42,1
619,302,19,7,UI,9,27,1
620,279,42,7,API,2,26,0
621,568,12,4,UI,9,8,0
622,223,9,3,UI,2,53,0
623,702,30,8,Backend,9,63,1
624,217,22,5,UI,6,77,1
625,219,10,7,API,9,72,0
626,442,41,4,Backend,6,75,1
627,683,17,4,API,6,91,0
628,243,32,8,Backend,2,6,0
629,566,9,8,UI,8,53,0
630,78,17,2,Backend,3,92,0
631,214,21,2,Backend,7,99,0
632,471,44,3,UI,5,35,1
633,388,49,3,UI,3,44,0
634,697,36,1,API,1,52,1
635,545,33,3,API,8,55,1
636,414,7,6,UI,3,47,0
637,391,44,8,UI,2,59,0
638,549,38,6,UI,1,92,1
639,706,44,5,Backend,4,53,0
640,560,31,4,Backend,8,94,1
641,376,17,3,Backend,3,84,0
642,266,49,4,UI,1,61,0
643,350,37,7,API,4,81,0
644,181,10,1,UI,9,19,0
645,119,28,7,Backend,1,31,0
646,301,23,1,Backend,2,72,0
647,464,20,2,UI,9,84,1
648,494,44,4,UI,2,68,1
649,231,32,1,Backend,3,98,0
650,216,37,9,Backend,7,34,0
651,140,45,6,Backend,3,40,0
652,763,17,1,UI,9,71,0
653,580,47,1,Backend,6,90,1
654,88,49,6,Backend,3,90,1
655,175,29,4,API,9,53,0
656,500,46,4,UI,1,80,1
657,222,40,6,API,3,59,0
658,702,31,7,API,1,89,1
659,269,42,9,Backend,2,60,0
660,687,11,5,UI,8,72,0
661,107,9,9,Backend,7,99,0
662,709,47,4,UI,2,48,1
663,525,49,2,API,2,35,1
664,505,35,3,UI,9,62,1
665,410,27,1,Backend,6,91,1
666,50,46,6,Backend,5,57,0
667,436,14,6,Backend,6,88,0
668,397,36,1,UI,9,83,1
669,239,47,3,API,7,27,0
670,554,34,5,API,9,32,1
671,240,43,3,UI,4,20,0
672,557,35,3,Backend,2,41,1
673,418,22,3,API,8,25,0
674,458,40,5,Backend,4,83,1
675,166,6,5,UI,9,21,0
676,183,18,4,Backend,4,41,1
677,107,17,1,API,8,81,1
678,605,33,5,API,9,23,1
679,734,16,5,Backend,9,34,0
680,721,43,4,UI,4,49,1
681,222,6,6,Backend,1,22,0
682,198,36,4,UI,3,82,0
683,129,17,7,Backend,9,66,0
684,262,31,7,API,4,40,0
685,252,45,2,UI,5,88,0
686,278,21,3,UI,7,56,1
687,725,44,1,UI,5,23,1
688,276,35,8,API,4,48,0
689,708,38,9,Backend,2,11,1
690,581,28,4,API,2,48,1
691,490,49,6,UI,4,72,1
692,451,39,9,Backend,9,38,1
693,96,10,6,API,8,70,1
694,282,23,9,UI,3,73,0
695,354,34,4,UI,9,59,0
696,575,11,8,API,5,14,0
697,192,14,9,API,3,46,0
698,464,45,4,API,5,45,1
699,562,36,5,UI,4,81,0
700,422,38,8,API,8,73,1
701,615,32,6,UI,5,14,1
702,308,19,7,API,8,14,0
703,705,34,3,UI,9,95,1
704,520,41,7,UI,4,64,1
705,61,33,8,Backend,7,55,0
706,379,26,6,API,2,25,0
707,785,8,9,API,6,12,0
708,407,24,6,UI,8,69,0
709,457,36,9,UI,7,96,1
710,717,40,4,UI,7,82,1
711,422,8,8,Backend,8,89,0
712,57,31,4,Backend,7,34,0
713,171,21,2,UI,5,89,0
714,397,16,9,API,7,53,0
715,725,26,5,API,3,13,1
716,139,21,4,Backend,5,21,1
717,697,14,2,Backend,7,73,1
718,747,5,1,UI,9,62,0
719,365,26,7,API,2,61,1
720,227,30,6,UI,4,66,0
721,589,22,2,Backend,7,99,0
722,781,18,8,API,1,56,0
723,90,33,4,API,2,65,0
724,789,16,8,Backend,9,44,0
725,753,40,7,UI,7,42,1
726,551,39,5,UI,7,47,1
727,194,16,8,API,6,67,0
728,250,11,9,Backend,3,23,0
729,773,33,5,API,3,54,0
730,510,15,5,Backend,2,37,0
731,781,37,2,UI,6,17,1
732,607,10,5,Backend,4,82,0
733,596,19,3,UI,5,66,0
734,302,36,7,Backend,3,97,0
735,439,15,5,API,6,47,0
736,643,27,8,UI,3,53,1
737,305,30,1,API,8,40,0
738,758,38,3,API,9,14,1
739,499,38,3,UI,4,99,1
740,59,33,9,UI,9,10,0
741,291,8,5,API,7,61,0
742,300,21,9,API,3,5,0
743,54,39,9,API,7,75,0
744,168,17,1,API,1,62,0
745,423,45,2,UI,3,95,0
746,114,43,5,UI,6,25,1
747,195,19,4,API,4,96,0
748,273,33,9,Backend,7,84,0
749,288,33,7,Backend,3,60,0
750,226,15,6,UI,1,91,0
751,331,36,7,API,9,24,0
752,112,6,1,API,6,58,0
753,266,18,1,UI,8,29,1
754,738,24,8,Backend,3,32,0
755,510,26,2,Backend,8,9,0
756,659,15,9,Backend,2,25,0
757,154,31,7,UI,4,22,0
758,148,7,6,Backend,3,51,0
759,560,21,1,UI,1,74,0
760,434,48,1,UI,7,61,1
761,454,32,2,API,2,97,1
762,567,33,6,Backend,4,23,1
763,525,25,6,UI,9,69,0
764,758,20,2,Backend,6,7,0
765,694,41,1,Backend,8,46,1
766,486,24,5,API,2,25,1
767,72,10,5,Backend,7,44,0
768,614,23,2,API,6,71,0
769,726,9,6,UI,9,29,0
770,763,7,9,Backend,7,59,0
771,507,5,2,UI,1,88,0
772,132,42,2,Backend,8,56,0
773,194,19,3,UI,3,48,0
774,134,38,7,Backend,2,89,0
775,127,39,6,Backend,3,60,0
776,506,29,8,Backend,6,59,1
777,50,28,8,Backend,3,91,0
778,100,16,6,Backend,5,74,0
779,734,22,3,Backend,6,81,0
780,766,19,3,Backend,8,91,0
781,495,48,1,Backend,7,77,1
782,498,20,7,Backend,8,85,0
783,537,31,5,UI,3,70,1
784,83,12,4,API,4,23,0
785,397,29,4,Backend,6,87,0
786,144,21,4,API,7,11,0
787,121,33,6,Backend,9,67,1
788,600,12,8,Backend,1,46,0
789,203,19,8,UI,8,46,0
790,299,31,5,UI,8,63,0
791,723,11,6,API,6,24,0
792,487,7,4,UI,4,77,0
793,167,33,9,UI,3,21,0
794,355,48,8,API,3,31,0
795,317,28,1,UI,6,51,0
796,103,7,2,Backend,8,6,0
797,285,24,9,API,7,67,0
798,438,19,8,API,1,66,0
799,783,29,3,Backend,6,23,1
800,450,34,8,UI,7,21,0
801,673,18,1,API,7,73,0
802,352,11,4,API,9,43,1
803,256,21,3,Backend,5,86,1
804,278,48,6,Backend,1,75,0
805,627,24,7,UI,2,85,0
806,124,40,4,API,4,43,0
807,484,13,7,UI,5,40,0
808,152,42,9,UI,9,44,0
809,471,26,2,Backend,1,49,1
810,753,6,3,API,3,8,0
811,787,28,5,API,5,29,1
812,355,12,3,API,3,73,1
813,147,15,8,Backend,4,34,0
814,384,17,8,Backend,3,80,0
815,484,21,8,Backend,4,72,0
816,496,12,9,Backend,1,92,1
817,357,25,4,Backend,8,33,0
